Equipo,Nombre,IRJ General,Edad,Posicion
Liga Deportiva Alajuelense,Jordy Matarrita Soto,6,17,Volante
Club Sport Herediano,Diego Sánchez Corrales,6,18,Volante
Club Sport Herediano,Allan Miranda Albertazzi,6,29,Defensa
,,,,
,,,,
Belén Fútbol Club,Andrey Mora Matarrita,6,20,Volante
Belén Fútbol Club,Fernand Faerrón Tristán,6,21,Defensa
,,,,
Club de Fútbol UCR,Lopsang Balmaceda Naranjo,6,21,Volante
Municipal Liberia,José Sosa Centeno,6,22,Defensa
Asociacion Deportiva Santos,Mauricio Salas Vargas,5,20,Volante
,,,,
Asociación Deportiva San Carlos,Gustavo Jiménez Boza,5,22,Volante
Club de Fútbol UCR,Josué Abarca Valverde,5,17,Volante
Municipal Liberia,Aram Pazos Balado,5,26,Defensa
,,,,
,,,,
Liga Deportiva Alajuelense,Iago Suares Costa,4,23,Defensa
Club Sport Herediano,Jussef Delgado López,4,23,Portero
Club Sport Herediano,Brandon Salazar Quiros,4,18,Volante
Asociacion Deportiva Santos,Ariel Zapata Pizarro,4,20,Delantero
Asociación Deportiva San Carlos,Armando Rodríguez Elizondo,4,32,Volante
Belén Fútbol Club,Kevin Espinoza Campos,4,20,Defensa
Limón Fútbol Club,Ryan Bolaños Davis,4,18,Defensa
Club de Fútbol UCR,Francisco Rodríguez Hernández,4,24,Delantero
,,,,
Liga Deportiva Alajuelense,Miguel Ajú,3,17,Portero
,,,,
Club Sport Herediano,Anthony Contreras Enriquez,3,17,Delantero
,,,,
Asociacion Deportiva Santos,Alejandro Gómez Bermúdez,3,27,Portero
,,,,
Asociación Deportiva San Carlos,Jorge Gatgens Quirós,3,28,Volante
Belén Fútbol Club,Randy Taylor Dosman,3,19,Volante
Limón Fútbol Club,Marvin Esquivel Paz,3,23,Volante
Asociación Deportiva Carmelita,Joshua Ulate Ulate,3,19,Delantero
Asociación Deportiva Carmelita,Suhander Zúñiga Cordero,3,20,Volante
Club de Fútbol UCR,Royner Badilla Mora,3,22,Volante
Municipal Liberia,Adrián Camareno Araya,3,19,Defensa
Municipal Liberia,Kevin Monterrey,3,20,Portero
Municipal Liberia,Carlos Ochoa Víctor,3,24,Volante
Deportivo Saprissa,Marvin Loría Leitón,2,19,Defensa
Club Sport Herediano,Josué Martínez Áreas,2,26,Delantero
Municipal Pérez Zeledón,Rigoberto Salas Lobo,2,30,Defensa
,,,,
Asociacion Deportiva Santos,Kevin Masis González,2,19,Delantero
,,,,
,,,,
,,,,
Belén Fútbol Club,Alejandro Abasolo Rodríguez,2,19,Volante
Belén Fútbol Club,José Badilla Mora,2,22,Volante
Belén Fútbol Club,Sergio Ramírez Montero,2,18,Delantero
Belén Fútbol Club,Esteban Espinoza Sibaja,2,19,Volante
Belén Fútbol Club,William Fernández González,2,22,Defensa
,,,,
Limón Fútbol Club,Keyshell Sánchez Stamp,2,21,Volante
,,,,
Asociación Deportiva Carmelita,Endrick Alvarado Badilla,2,18,Defensa
Asociación Deportiva Carmelita,Bryan Orue Peñaranda,2,28,Defensa
Club de Fútbol UCR,Daniel Zamora Álvarez,2,23,Portero
Municipal Liberia,Marlon Jones Briceño,2,19,Volante
Deportivo Saprissa,Yostin Salinas Phillips,1,18,Defensa
,,,,
,,,,
,,,,
Club Sport Herediano,Samuel Román Castillo,1,18,Volante
Club Sport Herediano,Justin Cordero,1,18,Delantero
Asociacion Deportiva Santos,José Mora Concepción,1,24,Defensa
Asociación Deportiva San Carlos,William Ocampo Calderón,1,21,Defensa
Asociación Deportiva San Carlos,Jason Vega Carmona,1,21,Portero
,,,,
Belén Fútbol Club,Johan Bonilla Calderón,1,20,Volante
Belén Fútbol Club,Freddy Gongola Smith,1,21,Delantero
Club de Fútbol UCR,Jason Reyes Mora,1,19,Volante
Municipal Liberia,Kevin García López,1,25,Volante
Municipal Liberia,Jorge Hudson  Briones,1,25,Delantero
Municipal Liberia,Jimmy García Gómez,1,17,Delantero
